GPCR ID,GPCR name,Peptide,log EC50 (M),95% Confidence Interval,EC50 (M),,,,
C35A11.1-1,DMSR-7-1,FLP-3-6,-5.518,-5.815 to -5.221,3.033E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-32-1,-5.503,-5.652 to -5.354,3.142E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-33-2,-5.961,-6.172 to -5.751,1.093E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-4-1,-7.575,-7.743 to -7.407,2.662E-08,,,,
C35A11.1-1,DMSR-7-1,FLP-4-2,-7.537,-7.699 to -7.374,2.907E-08,,,,
C35A11.1-1,DMSR-7-1,FLP-5-1,-7.235,-7.343 to -7.126,5.826E-08,,,,
C35A11.1-1,DMSR-7-1,FLP-5-2,-7.021,-7.136 to -6.905,9.533E-08,,,,
C35A11.1-1,DMSR-7-1,FLP-5-3,-7.337,-7.454 to -7.219,4.607E-08,,,,
C35A11.1-1,DMSR-7-1,FLP-6-2,-6.209,-6.274 to -6.144,6.182E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-7-1,-6.676,-6.764 to -6.587,2.111E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-7-2,-5.692,-5.840 to -5.545,2.030E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-7-3,-5.512,-5.757 to -5.268,3.074E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-7-5,-5.937,-6.071 to -5.803,1.157E-06,,,,
C35A11.1-1,DMSR-7-1,FLP-8-1,-6.133,-6.196 to -6.070,7.359E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-8-2,-6.286,-6.368 to -6.204,5.179E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-9-1,-6.243,-6.305 to -6.180,5.719E-07,,,,
C35A11.1-1,DMSR-7-1,FLP-9-2,-7.027,-7.142 to -6.913,9.394E-08,,,,
C35A11.1-1,DMSR-7-1,pyroFLP-23-2,-6.360,-6.664 to -6.056,4.366E-07,,,,
C35A11.1-1,DMSR-7-1,pyroFLP-3-3,-5.405,-5.783 to -5.027,3.934E-06,,,,
C35A5.7-1,DMSR-8-1,FLP-12-1,-7.598,-7.699 to -7.496,2.526E-08,,,,
C35A5.7-1,DMSR-8-1,FLP-12-2,-6.617,-6.726 to -6.509,2.414E-07,,,,
C35A5.7-2,DMSR-8-2,FLP-12-1,-7.166,-7.285 to -7.047,6.819E-08,,,,
C35A5.7-2,DMSR-8-2,FLP-12-2,-6.293,-6.375 to -6.210,5.096E-07,,,,
C38C10.1-1,TKR-1-1,NLP-58-1,-8.285,-8.328 to -8.242,5.188E-09,,,,
C38C10.1-1,TKR-1-1,NLP-58-2,-9.143,-9.213 to -9.073,7.197E-10,,,,
C38C10.1-1,TKR-1-1,NLP-58-3,-8.546,-8.587 to -8.504,2.846E-09,,,,
C39E6.6-1,NPR-1-1,FLP-21-1,-8.289,-8.558 to -8.019,5.144E-09,,,,
