#source neuron, target neuron, transmitter, receptor
SIAVL,URYVR,pdf-1,pdfr-1
SIAVR,URYDL,pdf-1,pdfr-1
SIAVR,URYDR,pdf-1,pdfr-1
SIAVR,URYVL,pdf-1,pdfr-1
SIAVR,URYVR,pdf-1,pdfr-1
AIML,ALML,pdf-2,pdfr-1
AIML,ALMR,pdf-2,pdfr-1
AIMR,ALML,pdf-2,pdfr-1
AIMR,ALMR,pdf-2,pdfr-1
AIML,AVDL,pdf-2,pdfr-1
AIML,AVDR,pdf-2,pdfr-1
AIMR,AVDL,pdf-2,pdfr-1
AIMR,AVDR,pdf-2,pdfr-1
AIML,AVFL,pdf-2,pdfr-1
AIML,AVFR,pdf-2,pdfr-1
AIMR,AVFL,pdf-2,pdfr-1
AIMR,AVFR,pdf-2,pdfr-1
AIML,AVM,pdf-2,pdfr-1
AIMR,AVM,pdf-2,pdfr-1
AIML,DB2,pdf-2,pdfr-1
AIMR,DB2,pdf-2,pdfr-1
AIML,FLPL,pdf-2,pdfr-1
AIML,FLPR,pdf-2,pdfr-1
AIMR,FLPL,pdf-2,pdfr-1
AIMR,FLPR,pdf-2,pdfr-1
AIML,I1L,pdf-2,pdfr-1
AIML,I1R,pdf-2,pdfr-1
AIMR,I1L,pdf-2,pdfr-1
AIMR,I1R,pdf-2,pdfr-1
AIML,OLLL,pdf-2,pdfr-1
AIML,OLLR,pdf-2,pdfr-1
AIMR,OLLL,pdf-2,pdfr-1
AIMR,OLLR,pdf-2,pdfr-1
AIML,OLQDL,pdf-2,pdfr-1
AIML,OLQDR,pdf-2,pdfr-1
AIML,OLQVL,pdf-2,pdfr-1
AIML,OLQVR,pdf-2,pdfr-1
AIMR,OLQDL,pdf-2,pdfr-1
AIMR,OLQDR,pdf-2,pdfr-1
AIMR,OLQVL,pdf-2,pdfr-1
AIMR,OLQVR,pdf-2,pdfr-1
AIML,PHAL,pdf-2,pdfr-1
AIML,PHAR,pdf-2,pdfr-1
AIMR,PHAL,pdf-2,pdfr-1
AIMR,PHAR,pdf-2,pdfr-1
AIML,PHBL,pdf-2,pdfr-1
AIML,PHBR,pdf-2,pdfr-1
AIMR,PHBL,pdf-2,pdfr-1
AIMR,PHBR,pdf-2,pdfr-1
AIML,PLML,pdf-2,pdfr-1
AIML,PLMR,pdf-2,pdfr-1
AIMR,PLML,pdf-2,pdfr-1
AIMR,PLMR,pdf-2,pdfr-1
